,cleanedtext,standardized
12161,who likes rock party super is coming on ,['marioparty']
12167,who likes rock party super is coming on ,['marioparty']
12173,para ,['marioparty']
12176,super party out october year direct ,['marioparty']
12181,who likes rock party super is coming on ,['marioparty']
12185,super party announced switch ,['marioparty']
12202,okay can play as damn it one weakness ,['marioparty']
12219,looks fun ,['marioparty']
12226,who likes rock party super is coming on ,['marioparty']
12237,who likes rock party super is coming on october 5th ,['marioparty']
12255,who likes rock party super is coming on ,['marioparty']
12266,who likes rock party super is coming on october 5th ,['marioparty']
12272,who likes rock party super is coming on october 5th ,['marioparty']
12280,announced coming october switch stay tuned local info it looks so ,['marioparty']
12290,who likes rock party super is coming on ,['marioparty']
12299,who likes rock party super is coming on october 5th ,['marioparty']
12342,cast an actual party ,['marioparty']
12346,none people in trailer are friends anymore ,['marioparty']
12350,just hope not too dependent on more one people owning switch ,['marioparty']
12358,who likes rock party super is coming on ,['marioparty']
12368,who likes rock party super is coming on october 5th ,['marioparty']
12378,who likes rock party super is coming on ,['marioparty']
12417,announced switch ,['marioparty']
12424,who likes rock party super is coming on ,['marioparty']
12428,who likes rock party super is coming on october 5th ,['marioparty']
12431,yes god ,['marioparty']
12447,who likes rock party super is coming on ,['marioparty']
12453,who likes rock party super is coming on october 5th ,['marioparty']
12457,who likes rock party super is coming on october 5th ,['marioparty']
12541,who likes rock party super is coming on ,['marioparty']
12567,curious know switches need copies game ,['marioparty']
12580,was not expecting announcement but am excited ,['marioparty']
12588,who likes rock party super is coming on ,['marioparty']
12595,who wants hang out ruin friendships ,['marioparty']
12599,who likes rock party super is coming on october 5th ,['marioparty']
12620,who likes rock party super is coming on october 5th ,['marioparty']
12635,dual screens in interesting ,['marioparty']
12648,who likes rock party super is coming on ,['marioparty']
12650,who likes rock party super is coming on october 5th ,['marioparty']
12669,looks like need another party party hear best one ,['marioparty']
12688,is coming october 5th ,['marioparty']
12702,can recapture former greatness ,"['marioparty', 'marioparty']"
12710,who likes rock party super is coming on ,['marioparty']
12715,who likes rock party super is coming on ,['marioparty']
12723,looks so much looks cool it connects other switches ,['marioparty']
12762,who likes rock party super is coming on ,['marioparty']
12788,see rage inducing party parties in future ,['marioparty']
12804,but is cool have never actually owned one so looking forward getting on switch lot ,['marioparty']
12808,loved original games hope holds up it looks fun ,"['marioparty', 'marioparty']"
12815,be actually interesting people actually embarrassed ,['marioparty']
12818,who likes rock party super is coming on october 5th ,['marioparty']
12832,die ,['marioparty']
12840,is own way ,['marioparty']
12843,who likes rock party super is coming on ,['marioparty']
12853,who likes rock party super is coming on ,['marioparty']
12865,was riding bike ,['marioparty']
12952,uk likes rock party super is coming ,['marioparty']
12977,who likes rock party super is coming on october 5th ,['marioparty']
13023,fuck yes switch ,['marioparty']
13035,good news is be getting more party by ,['marioparty']
13053,announced coming october switch stay tuned local info it looks so ,['marioparty']
13073,takes party games on go oct ,['marioparty']
13086,who likes rock party super is coming on ,['marioparty']
13087,hell yeah been too long got party on ,['marioparty']
13099,who likes rock party super is coming on ,['marioparty']
13104,who likes rock party super is coming on october 5th ,['marioparty']
13108,who likes rock party super is coming on ,['marioparty']
13139,who likes rock party super is coming on october 5th ,['marioparty']
13161,who likes rock party super is coming on october 5th ,['marioparty']
13165,who likes rock party super is coming on ,['marioparty']
13167,looks amazing at ,['marioparty']
13194,no more rolling dice moves ,['marioparty']
13195,who likes rock party super is coming on october 5th ,['marioparty']
13205,who likes rock party super is coming on october 5th ,['marioparty']
13220,guys not in stupid train anymore ,['marioparty']
13240,out october ,['marioparty']
13259,friendship ruiner is back ,['marioparty']
13268,who likes rock party super is coming on october 5th ,['marioparty']
13282,yes not in damn train time end friendships once again ,['marioparty']
13290,who likes rock party super is coming on ,['marioparty']
13315,who likes rock party super is coming on october 5th ,['marioparty']
13320,who likes rock party super is coming on ,['marioparty']
13331,who likes rock party super is coming on ,['marioparty']
13339,definitely culture but not getting ,"['pokemonletsgo', 'marioparty']"
13353,il fun ce ,['marioparty']
13366,who likes rock party super is coming on october 5th ,['marioparty']
13369,just answer question is there online all want care about ,['marioparty']
13380,super ,['marioparty']
13394,got side tracked watching is releasing on november 5th year ,['marioparty']
13416,want christmas yes please ,['marioparty']
13426,looks awesome ,['marioparty']
13438,super party been awhile hated me get october 5th ,['marioparty']
13467,who likes rock party super is coming on ,['marioparty']
13472,all right on switch way it was meant be played dick moves all ,"['marioparty', 'marioparty']"
13474,who likes rock party super is coming on october 5th ,['marioparty']
13488,looks amazing at ,['marioparty']
13507,also comes october ,['marioparty']
13516,who likes rock party super is coming on october 5th ,['marioparty']
13548,online ,['marioparty']
13573,who likes rock party super is coming on ,['marioparty']
13626,who likes rock party super is coming on ,['marioparty']
13663,who likes rock party super is coming on ,['marioparty']
13693,se para ,['marioparty']
13695,looks fun but is it just another gimmick ,['marioparty']
13716,super party va encore ,['marioparty']
13777,curious know switches need copies game ,['marioparty']
13792,like is definitely an new inventive way play ,"['marioparty', 'marioparty']"
13801,genial ,['marioparty']
13823,who likes rock party super is coming on ,['marioparty']
13824,who likes rock party super is coming on ,['marioparty']
13829,who likes rock party super is coming on ,['marioparty']
13835,who likes rock party super is coming on ,['marioparty']
13850,un party ,['marioparty']
13864,who likes rock party super is coming on ,['marioparty']
13942,who likes rock party super is coming on ,['marioparty']
13943,who likes rock party super is coming on ,['marioparty']
13961,who likes rock party super is coming on ,['marioparty']
13962,who likes rock party super is coming on ,['marioparty']
13966,party looks game two systems higher ,['marioparty']
13975,ab ,['marioparty']
13981,be breaking some controllers ,['marioparty']
13989,who likes rock party super is coming on ,['marioparty']
14017,super party coming switch ,['marioparty']
14075,who likes rock party super is coming on ,['marioparty']
14104,more friendships were destroyed by games then wars ,['marioparty']
14133,who likes rock party super is coming on ,['marioparty']
14136,instant cop ,['marioparty']
14138,who likes rock party super is coming on ,['marioparty']
14163,who likes rock party super is coming on ,['marioparty']
14168,finally got rid stupid car ,['marioparty']
14183,also looks alright ,['marioparty']
14220,who likes rock party super is coming on ,['marioparty']
14265,who likes rock party super is coming on ,['marioparty']
14281,who likes rock party super is coming on ,['marioparty']
14306,who likes rock party super is coming on october 5th ,['marioparty']
14309,it looks like might have fixed party ,['marioparty']
14311,who likes rock party super is coming on ,['marioparty']
14316,is basically party station so is day one purchase me ,['marioparty']
14362,love super party its like brought it back its original days ,['marioparty']
14377,like party is coming switch october ,['marioparty']
14410,is coming switch oct 5th ,['marioparty']
14415,who likes rock party super is coming on ,['marioparty']
14439,who likes rock party super is coming on october 5th ,['marioparty']
14440,who likes rock party super is coming on ,['marioparty']
14443,who likes rock party super is coming on ,['marioparty']
14456,yes prayers have been answered party on switch wait friendships crumble ,['marioparty']
14483,who likes rock party super is coming on ,['marioparty']
14500,who likes rock party super is coming on ,['marioparty']
14531,yeah ,['marioparty']
14545,who likes rock party super is coming on ,['marioparty']
14548,comes out october check out trailer here ,['marioparty']
14575,time lose some friends ,['marioparty']
14580,who likes rock party super is coming on october 5th ,['marioparty']
14581,who likes rock party super is coming on ,['marioparty']
14648,who likes rock party super is coming on october 5th ,['marioparty']
14678,so ready new time ,['marioparty']
14684,knew it knew it is coming october 5th switch thank ,['marioparty']
14709,who likes rock party super is coming on ,['marioparty']
14730,who likes rock party super is coming on ,['marioparty']
14748,also comes october ,['marioparty']
14753,who likes rock party super is coming on october 5th ,['marioparty']
14772,who likes rock party super is coming on october 5th ,['marioparty']
14792,who likes rock party super is coming on ,['marioparty']
14831,new looks so fun looks like some pretty ingenious uses switch tech in new games ,['marioparty']
14835,an awesome look at new game use switch in really new ways releases ,"['marioparty', 'marioparty']"
14847,who likes rock party super is coming on ,['marioparty']
14855,so pumped about new catch had gotten rid stupid cart or not hope ,['marioparty']
14857,who likes rock party super is coming on ,['marioparty']
14858,who likes rock party super is coming on ,['marioparty']
14865,who likes rock party super is coming on ,['marioparty']
14869,who likes rock party super is coming on ,['marioparty']
14940,who likes rock party super is coming on ,['marioparty']
14974,all right on switch way it was meant be played dick moves all ,"['marioparty', 'marioparty']"
14993,who likes rock party super is coming on ,['marioparty']
15005,in is absolute witchcraft listen any other explanation ,['marioparty']
15018,who likes rock party super is coming on ,['marioparty']
15027,party looks be back its best so down ,['marioparty']
15029,drunk party friends is definitely happening at place ,['marioparty']
15053,who likes rock party super is coming on ,['marioparty']
15054,who likes rock party super is coming on october 5th ,['marioparty']
15067,who likes rock party super is coming on ,['marioparty']
15075,in is ,['marioparty']
15106,who likes rock party super is coming on october 5th ,['marioparty']
15119,who likes rock party super is coming on ,['marioparty']
15120,who likes rock party super is coming on ,['marioparty']
15126,who likes rock party super is coming on ,['marioparty']
15142,looks amazing at ,['marioparty']
15201,announces new ,['marioparty']
15211,who likes rock party super is coming on ,['marioparty']
15246,who likes rock party super is coming on ,['marioparty']
15292,who likes rock party super is coming on october 5th ,['marioparty']
15340,who likes rock party super is coming on ,['marioparty']
15360,well guess still needed check switch ,"['marioparty', 'marioparty']"
15372,who likes rock party super is coming on ,['marioparty']
15374,looks amazing at ,['marioparty']
15412,is it weird first immediate thought seeing is it means another ,['marioparty']
15413,been looking good party game ,['marioparty']
15424,new is big news can combine switch screens make new looks cool ,['marioparty']
15518,who likes rock party super is coming on ,['marioparty']
15522,who likes rock party super is coming on october 5th ,['marioparty']
15560,who likes rock party super is coming on ,['marioparty']
15567,who likes rock party super is coming on ,['marioparty']
15592,who likes rock party super is coming on ,['marioparty']
15602,love me some party finally some news ,"['marioparty', 'fireemblem']"
15607,who likes rock party super is coming on october 5th ,['marioparty']
15618,die party am ,['marioparty']
15636,who likes rock party super is coming on ,['marioparty']
15638,who likes rock party super is coming on ,['marioparty']
15643,who likes rock party super is coming on ,['marioparty']
15649,who likes rock party super is coming on ,['marioparty']
15673,looks amazing at ,['marioparty']
15699,who likes rock party super is coming on ,['marioparty']
15752,europe likes rock party super is coming ,['marioparty']
15782,who likes rock party super is coming on october 5th ,['marioparty']
15852,is on now already announced plus new comes more come ,"['marioparty', 'fireemblem']"
15867,die party am ,['marioparty']
15895,who likes rock party super is coming on october 5th ,['marioparty']
15973,will be first ,['marioparty']
16012,sure hope is return form ,['marioparty']
16074,improves on recent blunders party finding harmonious ,['marioparty']
16127,who likes rock party super is coming on ,['marioparty']
16176,who likes rock party super is coming on ,['marioparty']
