,Tweet,cleanedtext
55,Empezó!!! #NintendoE3,three house march spring 
56,"RT @NintendoFrance: Le #NintendoDirect: #E32018 a commencé ! #NintendoE3

Le voir ici : https://t.co/MUeXeNOZnM https://t.co/ZBdOBpARqT",three house march spring 
57,🖥 #Watching #E3 #2k18 #NintendoE3 Press Conference,three house march spring 
58,"RT @TomHall: This Castle was entirely 3D Printed with Concrete. 

The possibilities are endless!

🏰 🏰 🏰 🗿 🏰 🏰 🏰

#Tech #Innovation #Tuesday…",three house march spring 
59,Et ça commence #E32018 #NintendoE3 #SelygaE3,three house march spring 
60,#NintendoE3 Comienza el evento la conferencia mas esperada #E32018,three house march spring 
61,Понеслась! #E32018 #NintendoE3,three house march spring 
62,Me ha gustado un vídeo de @YouTube (https://t.co/ckHoWcH8SQ - Nintendo Direct E3 en Español / #E32018 #NintendoSwitch #NintendoE3).,three house march spring 
63,"Nintendo Direkt HYPE gioghuRage

#NintendoE3 #twitchtv

https://t.co/73d2D0zZkz",three house march spring 
64,#NintendoE3 VAMOOOOOOS,hear look amazing wait 
65,#E32018 #NintendoE3,three house march spring 
66,"Uy, en un minuto da comienzo el #NintendoDirect  en #E3",three house march spring 
67,"RT @NintendoEurope: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/UQyYm8suvD https://t.co/CtpVPOI28J",three house march spring 
68,Estoy en directo en Twitch - Puedes verme en https://t.co/IUAFduWR3p arrancamos! #E32018 #NintendoDirect,three house march spring 
69,UN MINUTO #NintendoE3,three house march spring 
70,"nach vier Tagen #E32018 macht sich Müdigkeit breit.

aber #NintendoDirect ziehen wir jetzt auch noch gemeinsam durc… https://t.co/MTBJClHT3V",three house march spring 
71,Z指定あるのか #NintendoDirect #NintendoDirectJP,three house march spring 
72,"#NintendoE3

IT
IS
TIME https://t.co/Qb9rg8DDVq",three house march spring 
73,😱😱😱😱 #NintendoE3,three house march spring 
74,"RT @NintendoEurope: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/UQyYm8suvD https://t.co/CtpVPOI28J",three house march spring 
75,#NintendoE3 please cure my depression,coming sprint 
76,"RT @KojyNeox: It's time
#NintendoE3 #E32018 #gamerstylE3 https://t.co/2dGuWAtsTw",three house march spring 
77,#E3 is easily one of my favorite times of the year. Still remember a couple years ago when I actually took off work… https://t.co/0TVH5EBNpd,three house march spring 
78,"Czas na ostatnią konfę podczas #E32018. Ciekawe co przygotowało Big N
#NintendoE3",literally flailed 
79,AHHHHHHHHHHH #NintendoE3 @NintendoAmerica,three house march spring 
80,"#E32018 #NintendoE3 

LET'S DO THIS.",three house march spring 
81,¡Pásenle! #NintendoDirect #E32018 https://t.co/pffG0UjjiN,three house march spring 
82,RT @anicrossing2: #NintendoE3 https://t.co/zrAPt1ITD0,hear look amazing wait 
83,ES GEHT LOS #NintendoE3 #E32018,three house march spring 
84,"Here we goooooooooooo!
#NintendoE3 #NintendoDirect #NintendoSwitch #E32018",love party amp finally news 
85,Es geht los #PietStream #NintendoE3 #E32018,three house march spring 
86,"RT @NintendoES: ¡El #NintendoDirect: #E32018 ha comenzado! #NintendoE3

Síguelo aquí: https://t.co/b5qWa2Lohs https://t.co/NSELAGf11i",three house march spring 
87,Give it to us like to an anime girl on prom night! #E3 #E32018 #NintendoE3,three house march spring 
88,SEATBELTS EVERYONE #NintendoE3 #E32018,make debut fire emblem fan everywhere excited next 
89,My body is ready #NintendoE3,three house march spring 
90,Here we go #NintendoDirect #E32018,three house march spring 
91,"RT @NintendoFrance: Le #NintendoDirect: #E32018 a commencé ! #NintendoE3

Le voir ici : https://t.co/MUeXeNOZnM https://t.co/ZBdOBpARqT",three house march spring 
92,Countdown #NintendoE3,three house march spring 
93,"#NintendoDirect is about to begin!
#NintendoE3
#E32018 #E3 #NintendoSwitch",three house march spring 
94,"RT @NintendoES: ¡El #NintendoDirect: #E32018 ha comenzado! #NintendoE3

Síguelo aquí: https://t.co/b5qWa2Lohs https://t.co/NSELAGf11i",hear look amazing wait 
95,Let's go ! #E32018 #NintendoDirect,new rush way 
96,nan,three house march spring 
97,Pourquoi je suis nerveuse ? #NintendoE3 xD,three house march spring 
98,Guys it’s happening #NintendoDirect,fire emblem game throne edition 
99,"RT @NintendoFrance: Le #NintendoDirect: #E32018 a commencé ! #NintendoE3

Le voir ici : https://t.co/MUeXeNOZnM https://t.co/ZBdOBpARqT",three house march spring 
100,"RT @TomHall: This Castle was entirely 3D Printed with Concrete. 

The possibilities are endless!

🏰 🏰 🏰 🗿 🏰 🏰 🏰

#Tech #Innovation #Tuesday…",three house march spring 
101,Hora de #NintendoE3,fire emblem 
102,"Esto arranca ya, vamos a ver qué sorpresas nos ha estado guardando Nintendo https://t.co/qEppMtZFr2 #NintendoE3 ¿Sa… https://t.co/VshNL18rK2",oh god new look direct 
103,Let's go ! #E32018 #E3JVCom #NintendoE3,new look pretty awesome seem like proper well done strategy game 
104,RT @The_Lucbomber: LET’S GO!! #NintendoE3,three house march spring 
105,I'm only interested in the #NintendoDirect and #NintendoE3 events as a #NintendoSwitch owner without the financial… https://t.co/FQw4J6SULI,three house march spring 
106,Here we go #NintendoE3 #E32018,three house march spring 
107,Here we go! #NintendoE3,three house march spring 
108,#E32018 #NintendoDirect https://t.co/JFvf5riHaa,three house march spring 
109,It's Time! #NintendoDirect #NintendoDirectE3 #e32018 #NintendoE3 #Nintendoiscoming https://t.co/gqIazAqZSB,three house march spring 
110,AND IT HAS BEGUN. MY BODY IS READY. #NintendoE3,three house march spring 
111,#NintendoDirect Starting now,time showing strong early house 
112,GOGO! #NintendoE3 #E32018,three house march spring 
113,Hype #NintendoDirect #E32018,three house spring 
114,"OK, Nintendo. Let's see what you got for me! #Nintendo #NintendoE32018 #NintendoDirect #E3 #E32018 #NintendoE3… https://t.co/pfeeIHfaDo",e 
115,LETS GO!!!! #NintendoE3 #NintendoDirect #E32018,three house march spring 
116,"RT @NintendoES: ¡El #NintendoDirect: #E32018 ha comenzado! #NintendoE3

Síguelo aquí: https://t.co/b5qWa2Lohs https://t.co/NSELAGf11i",hear look amazing wait 
117,بدأنا⁦✌🏻⁩ https://t.co/Dt083At1dI,three house march spring 
118,"#NintendoE3 Here we go!

@Nintendo @NintendoAmerica @E3 #E3 #E32018 #Switch #Nintendo #NintendoDirect",three house march spring 
119,Los Gehts! #Nintendo #NintendoE3 #E3 #E32018,three house march spring 
120,Vamos!! #NintendoE3,cant believe missed live announcement really need missed 
121,"Sony and Microsoft bois always be fighting, but this time is for everyone #NintendoE3",spring vocation on switch graphic want 
122,Countdown! #NintendoE3 #E32018,okay stop neglecting though series way overdue return 
123,"New Smash Bros information, Metroid Prime 4 gameplay, and Pkmn news -That's all I want and need. Anything else will… https://t.co/ZzVKeM5FVt",three house march spring 
124,Ahhhhh shit it begins #NintendoE3,three house march spring 
125,Los gehts! https://t.co/K9gV9Tq023,hear look amazing wait 
126,LET'S GOOO #E3 #NintendoE3,three house march spring 
127,#NintendoDirect PIKMIN 4!!!!!!!,three house march spring 
128,Let’s go! #NintendoE3 https://t.co/cRnDOo7wAv,three house march spring 
