,cleanedtext,standardized
16664,three house march spring ,['fireemblem']
16682,three house march spring ,['fireemblem']
16696,three house march spring ,['fireemblem']
16706,three house march spring ,['fireemblem']
16709,three house march spring ,['fireemblem']
16725,three house march spring ,['fireemblem']
16742,le cool ,['fireemblem']
16746,three house march spring ,['fireemblem']
16755,three house march spring ,['fireemblem']
16758,three house march spring ,['fireemblem']
16799,three house march spring ,['fireemblem']
16822,coming spring ,['fireemblem']
16837,three house march spring ,['fireemblem']
16862,new fire emblem game look hype ,['fireemblem']
16869,three house march spring ,['fireemblem']
16894,three house march spring ,['fireemblem']
16900,three house march spring ,['fireemblem']
16904,three house march spring ,['fireemblem']
16918,three house march spring ,['fireemblem']
16922,three house march spring ,['fireemblem']
16936,three house march spring ,['fireemblem']
16964,three house march spring ,['fireemblem']
16995,look beautiful absolutely stunning theme song though spring long ,['fireemblem']
17013,three house march spring ,['fireemblem']
17016,three house march spring ,['fireemblem']
17026,three house march spring ,['fireemblem']
17057,okay looking sexy hell there much even know begin talking ,['fireemblem']
17063,three house march spring ,['fireemblem']
17064,delayed spring oh well still excited ,['fireemblem']
17069,three house march spring ,['fireemblem']
17091,look interesting ,['fireemblem']
17115,three house march spring ,['fireemblem']
17156,three house march spring ,['fireemblem']
17172,okay stop neglecting though series way overdue return ,['fireemblem']
17173,three house march spring ,['fireemblem']
17177,three house march spring ,['fireemblem']
17186,three house march spring ,['fireemblem']
17225,three house march spring ,['fireemblem']
17234,three house march spring ,['fireemblem']
17260,three house march spring ,['fireemblem']
17284,three house march spring ,['fireemblem']
17319,three house march spring ,['fireemblem']
17341,three house march spring ,['fireemblem']
17349,three house march spring ,['fireemblem']
17367,three house march spring ,['fireemblem']
17373,three house march spring ,['fireemblem']
17380,fire emblem three house coming spring ,"['fireemblem', 'fireemblem']"
17399,three house march spring ,['fireemblem']
17430,three house march spring ,['fireemblem']
17433,three house march spring ,['fireemblem']
17444,three house march spring ,['fireemblem']
17478,three house march spring ,['fireemblem']
17485,three house march spring ,['fireemblem']
17504,three house march spring ,['fireemblem']
17509,play day ,['fireemblem']
17519,three house march spring ,['fireemblem']
17526,three house march spring ,['fireemblem']
17533,finally switch hopefully fix problem fate ,['fireemblem']
17544,three house march spring ,['fireemblem']
17545,ooh switch look interesting ,['fireemblem']
17551,three house march spring ,['fireemblem']
17581,three house march spring ,['fireemblem']
17584,three house march spring ,['fireemblem']
17586,is rule fe protagonist must blue hair ask genuinely ,['fireemblem']
17591,three house march spring ,['fireemblem']
17607,fire emblem make true tactical debut switch coming spring ,['fireemblem']
17622,is sleeping ,['fireemblem']
17628,new longer stuck warrior switch fire emblem three house coming spring ,['fireemblem']
17630,three house march spring ,['fireemblem']
17646,three house march spring ,['fireemblem']
17649,three house march spring ,['fireemblem']
17652,spring rage ,['fireemblem']
17660,three house march spring ,['fireemblem']
17678,three house march spring ,['fireemblem']
17681,three house march spring ,['fireemblem']
17701,wait look incredible ,['fireemblem']
17708,three house serum ,['fireemblem']
17716,three house march spring ,['fireemblem']
17717,three house march spring ,['fireemblem']
17760,time showing strong early house ,"['fireemblem', 'fireemblem']"
17766,three house march spring ,['fireemblem']
17770,three house march spring ,['fireemblem']
17780,three house march spring ,['fireemblem']
17788,three house march spring ,['fireemblem']
17789,three house march spring ,['fireemblem']
17797,three house march spring ,['fireemblem']
17798,three house march spring ,['fireemblem']
17799,three house march spring ,['fireemblem']
17803,three house march spring ,['fireemblem']
17810,three house march spring ,['fireemblem']
17814,three house march spring ,['fireemblem']
17821,three house march spring ,['fireemblem']
17844,three house march spring ,['fireemblem']
17850,three house march spring ,['fireemblem']
17878,three house march spring ,['fireemblem']
17879,hope time get japanese voice game unlike fire emblem fate ,['fireemblem']
17886,three house march spring ,['fireemblem']
17892,three house march spring ,['fireemblem']
17901,three house march spring ,['fireemblem']
17904,three house march spring ,['fireemblem']
17910,three house march spring ,['fireemblem']
17911,look good ,['fireemblem']
17913,three house march spring ,['fireemblem']
17926,three house march spring ,['fireemblem']
17966,three house march spring ,['fireemblem']
17978,maximum hype ,['fireemblem']
17986,look beautiful absolutely stunning theme song though spring long away ,['fireemblem']
17999,da mus ,['fireemblem']
18007,three house march spring ,['fireemblem']
18024,three house march spring ,['fireemblem']
18055,three house march spring ,['fireemblem']
18065,three house march spring ,['fireemblem']
18099,three house march spring ,['fireemblem']
18135,three house march spring ,['fireemblem']
18149,three house march spring ,['fireemblem']
18157,three house march spring ,['fireemblem']
18173,fire emblem three house switch ,['fireemblem']
18203,three house march spring ,['fireemblem']
18206,three house march spring ,['fireemblem']
18207,three house march spring ,['fireemblem']
18216,three house march spring ,['fireemblem']
18226,three house march spring ,['fireemblem']
18236,three house march spring ,['fireemblem']
18273,trailer spring ,['fireemblem']
18274,three house march spring ,['fireemblem']
18277,three house march spring ,['fireemblem']
18283,three house march spring ,['fireemblem']
18290,three house march spring ,['fireemblem']
18294,three house march spring ,['fireemblem']
18301,three house march spring ,['fireemblem']
18311,three house march spring ,['fireemblem']
18319,three house march spring ,['fireemblem']
18325,three house march spring ,['fireemblem']
18364,three house march spring ,['fireemblem']
18369,three house march spring ,['fireemblem']
18373,three house march spring ,['fireemblem']
18376,three house march spring ,['fireemblem']
18382,three house march spring ,['fireemblem']
18406,three house march spring ,['fireemblem']
18414,three house march spring ,['fireemblem']
18443,three house march spring ,['fireemblem']
18458,three house march spring ,['fireemblem']
18471,three house march spring ,['fireemblem']
18501,three house march spring ,['fireemblem']
18503,three house march spring ,['fireemblem']
18537,three house march spring ,['fireemblem']
18545,three house march spring ,['fireemblem']
18569,three house march spring ,['fireemblem']
18570,three house march spring ,['fireemblem']
18571,three house ,['fireemblem']
18575,three house march spring ,['fireemblem']
18577,three house march spring ,['fireemblem']
18602,three house march spring ,['fireemblem']
18616,three house march spring ,['fireemblem']
18635,three house march spring ,['fireemblem']
18654,three house spring ,['fireemblem']
18655,three house march spring ,['fireemblem']
18659,three house march spring ,['fireemblem']
18689,three house march spring ,['fireemblem']
18699,three house march spring ,['fireemblem']
18701,three house march spring ,['fireemblem']
18716,three house march spring ,['fireemblem']
18718,three house march spring ,['fireemblem']
18724,three house march spring ,['fireemblem']
18735,three house march spring ,['fireemblem']
18738,three house march spring ,['fireemblem']
18741,three house march spring ,['fireemblem']
18763,three house march spring ,['fireemblem']
18783,three house march spring ,['fireemblem']
18794,three house march spring ,['fireemblem']
18796,three house march spring ,['fireemblem']
18803,three house march spring ,['fireemblem']
18815,three house march spring ,['fireemblem']
18818,three house march spring ,['fireemblem']
18837,three house march spring ,['fireemblem']
18843,three house march spring ,['fireemblem']
18855,three house march spring ,['fireemblem']
18860,new new amp new bad far ,"['marioparty', 'fireemblem']"
18862,three house march spring ,['fireemblem']
18864,three house march spring ,['fireemblem']
18866,three house spring ,['fireemblem']
18915,it good get brand new big fire emblem game ,['fireemblem']
18923,three house march spring ,['fireemblem']
18929,three house march spring ,['fireemblem']
18943,three house march spring ,['fireemblem']
18959,three house march spring ,['fireemblem']
18973,three house march spring ,['fireemblem']
18987,three house ,['fireemblem']
19035,ca wait check army ,['fireemblem']
19044,three house march spring ,['fireemblem']
19060,three house march spring ,['fireemblem']
